,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
5753,20170103,HSI,22150.40039,22150.40039,21993.35938,22189.31055,21883.82031,1302378400
5754,20170104,HSI,22134.4707,22134.4707,22201.08008,22228.06055,22076.63086,1437672200
5755,20170105,HSI,22456.68945,22456.68945,22302.64063,22483.00977,22230.31055,1830652300
5756,20170106,HSI,22503.00977,22503.00977,22583.28906,22605.66016,22445.7793,1389973700
5757,20170109,HSI,22558.68945,22558.68945,22561.10938,22626.42969,22476.34961,1303532900
5758,20170110,HSI,22744.84961,22744.84961,22561.16992,22744.84961,22549.85938,1422515900
5759,20170111,HSI,22935.34961,22935.34961,22816.00977,22944.58008,22767.36914,1554104200
5760,20170112,HSI,22829.01953,22829.01953,22956.43945,22971.49023,22751.66992,1454667000
5761,20170113,HSI,22937.38086,22937.38086,22879.57031,22971.44922,22859.2793,1371840300
5762,20170116,HSI,22718.15039,22718.15039,22895.35938,22908.85938,22657.34961,1313357700
5763,20170117,HSI,22840.9707,22840.9707,22819.86914,22867.83984,22710.92969,1019618000
5764,20170118,HSI,23098.25977,23098.25977,22889.33008,23151.75,22882.01953,1689344500
5765,20170119,HSI,23049.96094,23049.96094,23104.34961,23104.34961,22941.96094,1174126300
5766,20170120,HSI,22885.91016,22885.91016,22966.5293,22987.67969,22858.25,1207476100
5767,20170123,HSI,22898.51953,22898.51953,22926.30078,23068.08008,22861.28906,1068403800
5768,20170124,HSI,22949.85938,22949.85938,22965.25,22986.44922,22907.7793,1462887100
5769,20170125,HSI,23049.11914,23049.11914,23066.40039,23066.40039,22961.38086,1185813200
5770,20170126,HSI,23374.16992,23374.16992,23173.46094,23386.41016,23145.31055,1856554500
5771,20170127,HSI,23360.7793,23360.7793,23339.15039,23397.08984,23307.05078,777897700
5772,20170131,HSI,23360.7793,23360.7793,23339.15039,23397.08984,23307.05078,777897700
5773,20170201,HSI,23318.39063,23318.39063,23211.88086,23318.39063,23082.61914,1515037600
5774,20170202,HSI,23184.51953,23184.51953,23309.46094,23439.01953,23131.36914,987795900
5775,20170203,HSI,23129.21094,23129.21094,23216.9707,23226.91992,22997.46094,1339282100
5776,20170206,HSI,23348.24023,23348.24023,23239.28906,23348.24023,23149.69922,1439947300
5777,20170207,HSI,23331.57031,23331.57031,23287.89063,23403.59961,23256.68945,1523355600
5778,20170208,HSI,23485.13086,23485.13086,23284.75977,23520.76953,23160.99023,2601105500
5779,20170209,HSI,23525.14063,23525.14063,23533.51953,23644.63086,23489.65039,2741007400
5780,20170210,HSI,23574.98047,23574.98047,23645.90039,23718.4707,23573.84961,2143167300
5781,20170213,HSI,23710.98047,23710.98047,23664.5293,23751.91992,23615.39063,1990274600
5782,20170214,HSI,23703.00977,23703.00977,23695.28906,23735.10938,23614.4707,1957113500
5783,20170215,HSI,23994.86914,23994.86914,23771.94922,24067.61914,23771.94922,3843901700
5784,20170216,HSI,24107.69922,24107.69922,24139.31055,24161.39063,23969.57031,3806666400
5785,20170217,HSI,24033.74023,24033.74023,24077.86914,24106.33984,23944.67969,2302691000
5786,20170220,HSI,24146.08008,24146.08008,24066,24202.33984,24022.15039,1936955000
5787,20170221,HSI,23963.63086,23963.63086,24174.10938,24213.64063,23909.15039,1839886700
5788,20170222,HSI,24201.96094,24201.96094,24059.08984,24201.96094,23999.55078,2230148000
